Sector,Data type,Description,Coverage,Source,Access
WUI,WUI areas,Global map of the 2020 WUI at 10?m resolution using a globally consistent and validated approach based on remote sensing-derived datasets of building area and wildland vegetation,Global,https://www.nature.com/articles/s41586-023-06320-0 ,Open
Economic ,Macroeconomic IO data,"Product by industry, product by product and further analysis tables derived from the annual Supply and Use Tables (SUTs).",UK,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesdetailed,Open
Economic ,Economic activity (spatial),US economic census with industry outputs,US,https://www.census.gov/programs-surveys/economic-census/year/2022/news-updates/ecdata-releases.html,Open
Economic ,Macroeconomic IO data,"These data offer a comprehensive picture of the inner workings of the U.S. economy, showing production relationships among industries and commodities. Input-output data are updated each year and provide information on 71 industry categories. Detailed benchmark input-output statistics, produced roughly every five years, are further subdivided into 402 industries.",US,https://www.bea.gov/data/industries/input-output-accounts-data ,Open
Energy,Power networks,Global power lines and substations,Global,https://openinframap.org/,Open
Energy,Power plants,Global energy power plants with capacities,Global,https://datasets.wri.org/datasets/global-power-plant-database,Open
Energy,Electricity distribution,Various distribution network operator (DNO) lines and substations,UK,https://connecteddata.nationalgrid.co.uk/dataset/spatial-datasets,Available via request
Energy,Electricity Service areas,Boundaries and service areas of electricity operators,UK,https://www.neso.energy/data-portal/gis-boundaries-gb-dno-license-areas ,Open
Energy,Electricity transmission,National Grid and Scottish electrcity spatial data on overhead and underground transmission lines and substations,UK,https://www.nationalgrid.com/electricity-transmission/network-and-infrastructure/network-route-maps,Open
Energy,Energy (various datasets),"Portal of combined energy data on demand, power cut indicates, future planning",UK,https://connecteddata.nationalgrid.co.uk/dataset/ ,Open
Energy,Gas networks,Various datasets on locations and usgae of Gas takeoff points and network,UK,https://data.nationalgas.com/,Open
Energy,Electricity distribution,"Harmonized geospatial dataset for the electric distribution networks in the US Northeast, covering Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, and Vermont ",US,https://www.nature.com/articles/s41597-025-06465-9,Open
Energy,Electricity transmission,Homeland Infrastructure Foundation-Level Data (HIFLD) overhead and underground transmission Lines from 69 kV up to 765 kV - stations makred at end of lines,US,https://www.arcgis.com/home/item.html?id=7759b0df07274f30a422e86dc11d4761#overview ,Open
Energy,Energy demand,"Form EIA-861, Annual Electric Power Industry Report, and Form EIA-861S (the shortform) collect data from distribution utilities and power marketers of electricity. This survey is a census of all United States electric utilities. ",US,https://www.eia.gov/electricity/data/eia861/,Open
Energy,Energy generation,"Monthly generation, fuel type, plant",US,https://www.eia.gov/opendata/,Open
